Number of Nodes,Probability,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
11,0.2,105,0.0,0.0,9.266858859168972,6.222222222222225,8.86143378408033,5.750000000000002,7.0,7.0,7.0,3
11,0.2,106,0.0,0.0,13.49743732298755,8.888888888888896,16.063065905043036,10.169421487603314,6.0,6.0,6.0,4
11,0.2,107,0.0,0.0,8.550575700050167,7.11111111111111,10.196561522309826,8.179999999999998,4.0,4.0,4.0,2
11,0.2,108,0.0,0.0,8.293446239041943,6.222222222222226,8.770319397786853,6.3800000000000034,6.0,6.0,6.0,2
11,0.2,109,1.6643412416503975,3.2005429625572477,16.23654164939565,11.505072854576897,18.44877044912581,12.240575726351635,5.0,5.0,5.0,6
11,0.2,110,0.46837089546172095,0.564244955191123,10.895891491504699,8.68370575124995,11.52240525226622,8.694560383439013,3.0,3.0,3.0,3
11,0.2,111,0.45378763431320535,0.5954426498469393,12.282616420877059,8.55729124301826,13.956122908221557,7.701562118716435,4.0,4.0,4.0,4
11,0.2,112,0.0,0.0,10.30167048381174,8.888888888888886,10.248459375940815,8.433884297520658,4.0,4.0,4.0,3
11,0.2,113,0.509598102911964,0.668356925358186,12.292344518544072,8.578711026442473,13.967176459195702,9.265007908557873,4.0,4.0,4.0,4
11,0.2,114,0.760821023189514,1.0404350044779118,13.791516450214576,11.06319664802755,15.771909824780513,10.353284752502898,4.0,3.0,3.0,4
11,0.2,115,0.2865629524718778,0.32620247906209016,11.50708110976853,8.888888888888875,11.447643707342042,8.433884297520649,4.0,4.0,4.0,3
11,0.2,116,0.8570703832361809,0.9372392741823004,12.237819209095502,9.44516314591413,11.702414618697574,8.412098426829772,4.0,4.0,4.0,4
11,0.2,117,0.9358222275240952,1.0329249811377863,9.707615371232952,8.618682833915196,9.977271353767204,8.265556245581173,3.0,3.0,3.0,3
11,0.2,118,0.7508835682727867,1.1774262075225284,14.458350777499051,10.322591729269886,16.428301070933298,11.051624770149573,5.0,4.0,4.0,5
11,0.2,119,0.49137573018333114,0.6812872068864302,15.68607852124003,11.224744054456833,17.938521614682557,11.443726465881591,5.0,4.0,4.0,5
11,0.2,120,0.0,0.0,9.758770483143643,8.000000000000005,11.656309188199351,9.055555555555564,2.0,2.0,2.0,3
11,0.2,121,1.5143634614860428,2.628810922277073,13.234283490472748,11.296055522416397,15.807616391398007,11.749914896084913,4.0,4.0,4.0,6
11,0.2,122,0.520383338349613,0.7463215635608799,15.079753102863416,10.216598715637895,17.24513087279938,11.117675281079615,5.0,4.0,4.0,5
11,0.2,123,1.1868736098877557,1.8967646408163836,16.99590313940358,11.555555555555575,19.436430553016287,12.533057851239692,5.0,5.0,5.0,5
11,0.2,124,0.0,0.0,9.308565293332952,7.111111111111109,11.126644452187046,7.999999999999998,2.0,2.0,2.0,4
11,0.2,125,2.864576512885828,3.96405757447273,16.57838404026164,14.804228876326905,17.531641122576684,16.10515603216519,6.0,6.0,6.0,8
11,0.2,126,1.3342990005730886,1.3995482690000844,13.528549821786154,11.209108554613652,14.59070869209168,10.489833669215484,3.0,3.0,3.0,4
11,0.2,127,1.0423586930872675,1.5904577202185741,13.353094478070762,9.966773680597937,12.768896594655166,8.876657809282538,4.0,4.0,4.0,4
11,0.2,128,0.0,0.0,5.628052871388713,4.444444444444445,6.719205979106933,5.091836734693878,4.0,4.0,4.0,2
11,0.2,129,0.699947096220471,0.9405206977873027,10.930502581220141,8.565520864888246,12.419783557911385,9.250762534079303,4.0,4.0,4.0,3
11,0.2,130,0.0,0.0,7.966567651719136,7.1111111111111125,8.822351286181153,7.375000000000002,2.0,2.0,2.0,3
11,0.2,131,0.0,0.0,8.29344623904196,7.1111111111111125,8.770319397786874,7.2200000000000015,4.0,4.0,4.0,2
11,0.2,132,0.0,0.0,9.650940183949276,7.111111111111114,11.508746169359512,8.180000000000003,5.0,5.0,5.0,3
11,0.2,133,0.8683107520738849,1.1348256405999273,14.414961570142907,11.205354439137727,14.340504124016137,10.486320450771252,4.0,4.0,4.0,4
11,0.2,134,0.9267886579644249,1.1781359909275202,14.351342179560119,10.575170459241509,15.176544354884827,10.4511155750081,4.0,4.0,4.0,5
