Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
5,11,57,1.410707289188282,1.5567702285471792,34.51384537865446,31.62178365838145,31.872479660900296,27.975810683537862,6.0,6.0,6.0,8
5,12,0,1.3514965728680153,1.447438273568571,33.43704169760417,32.64418768079678,30.878084424828344,28.88033212616679,6.0,7.0,6.0,8
5,12,1,1.6864857991491184,1.8816843900181262,31.60170251838729,29.330568958770836,29.446046217790936,26.07840412315676,6.0,6.0,6.0,8
5,12,2,1.2466281643592632,1.3904578476241078,37.07817497635979,34.78906749051215,34.99061243895111,31.540620344025925,6.0,6.0,6.0,8
5,12,3,1.241334498058637,1.3925287741025205,35.558062056703854,33.760656867006965,31.820424851879867,28.972486782503566,5.0,5.0,5.0,8
5,12,5,1.5740738123198807,1.7671013782109108,31.24924345218739,28.38170159904583,28.124319106968656,24.39052481168001,7.0,7.0,7.0,8
5,12,7,1.2897410686418969,1.4225522576651208,35.211918490621194,33.88476468471923,33.22942927808106,30.72075727982247,6.0,6.0,6.0,10
5,12,9,1.412555942873117,1.5920721231294028,35.33209802625179,33.503615741693594,31.61821272235601,28.751901009097622,7.0,6.0,6.0,10
5,12,11,1.3054220580661826,1.4352057689635016,34.72423725945372,33.87045259262451,31.07424641115887,29.05449761461071,7.0,6.0,6.0,10
5,12,13,1.1137503967047395,1.186666894907397,36.72290858381575,33.49037929801277,34.65534813152447,30.363197832311187,6.0,6.0,6.0,9
5,12,15,1.1532190786723637,1.285766290237541,36.78018914382083,34.747368794213806,33.71227639151252,30.626135242064542,8.0,7.0,7.0,10
5,12,17,1.3351639836776141,1.4917565209787575,35.98700057683532,32.3724846973512,32.204276084383885,27.7811948003711,7.0,6.0,7.0,8
5,12,19,1.2428714621837953,1.380778083084743,37.38073787279045,34.647020973571514,34.262732090868184,30.537689237866697,7.0,6.0,6.0,10
5,12,20,1.1746344800135036,1.2968157333041852,36.79343898823443,35.128960069890994,33.724421038601456,30.950992591959466,7.0,7.0,6.0,10
5,12,21,1.6016692513947297,1.7494044492302656,32.17571109966126,29.605395501489845,28.958139989695134,25.442136759092836,7.0,7.0,7.0,10
5,12,22,1.24542767403348,1.3623797317442818,36.591127910732716,34.228399173690185,33.53898515258323,30.15753746059594,8.0,8.0,7.0,10
