Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,3,98,3.07103558055579,3.0710355805557916,14.045084971874754,14.045084971874747,13.202379873562268,12.266040875437279,4.0,4.0,4.0,4
10,3,99,2.4373068313076596,2.437306831307661,14.27318839859229,14.273188398592293,14.415920282578211,13.464374389338728,4.0,4.0,4.0,5
12,3,0,2.6666666666666714,2.6666666666666705,17.080575606683617,17.08057560668362,15.538579197746898,15.657194306126653,4.0,4.0,4.0,5
12,3,1,1.0966998584585879,1.0966998584585874,16.76621265923407,16.766212659234093,13.971843882695058,13.040387623848739,4.0,4.0,4.0,4
12,3,2,0.9446631704944263,0.9446631704944256,16.93725393319378,16.937253933193784,14.114378277661483,13.173419725817386,4.0,4.0,4.0,4
12,3,3,1.675536687919435,1.6755366879194349,16.833852160593377,16.83385216059341,15.314129396095364,14.378915387173539,5.0,5.0,5.0,4
12,3,4,2.31306702452742,2.3130670245274203,16.841313006230553,16.841313006230575,14.034427505192129,13.098799004846004,5.0,5.0,5.0,4
12,3,5,2.4497119849843663,2.4497119849843663,16.755960701695166,16.755960701695194,15.24326980501435,14.312383099364643,5.0,5.0,5.0,5
12,3,6,2.4497119849843685,2.4497119849843667,16.755960701695184,16.755960701695177,15.243269805014368,14.312383099364629,5.0,5.0,5.0,5
12,3,7,3.381197846482996,3.3811978464829973,17.025392611699935,17.02539261169992,16.552465039152715,15.606609894058261,5.0,5.0,5.0,5
12,3,8,1.618425823052504,1.618425823052505,16.77915796601658,16.779157966016577,13.982631638347149,13.050456195790671,5.0,5.0,5.0,4
12,3,9,2.424749867530572,2.424749867530574,17.12446799965329,17.124467999653277,15.578509083017924,14.62714974970384,4.0,4.0,4.0,5
12,3,10,1.2956348551058912,1.2956348551058916,16.24264068711931,16.242640687119295,15.791456223588217,14.889087296526018,5.0,5.0,5.0,5
12,3,11,1.6755366879194353,1.6755366879194362,16.83385216059338,16.833852160593377,14.02821013382782,13.09299612490596,5.0,5.0,5.0,4
12,3,12,2.0692702473306106,2.0692702473306106,17.26532306196868,17.26532306196868,15.706648063318728,14.747463448764913,4.0,4.0,4.0,6
12,3,13,1.1923166173056134,1.1923166173056132,16.901170263286883,16.901170263286886,16.431693311528914,15.49273940801298,4.0,4.0,4.0,4
12,3,14,1.945073505577485,1.945073505577486,16.01598284825524,16.015982848255216,14.570095507787755,13.680318682884664,7.0,6.0,6.0,4
12,3,15,2.0371520600005635,2.0371520600005617,17.373863542433742,17.373863542433757,15.805389750408473,14.840175109162166,4.0,4.0,4.0,5
12,3,16,1.9450735055774877,1.9450735055774875,16.015982848255202,16.01598284825521,14.570095507787718,13.680318682884657,7.0,6.0,6.0,4
12,3,17,2.924768197569198,2.924768197569197,17.127826078310754,17.127826078310765,14.273188398592293,13.914030226445881,4.0,4.0,4.0,4
12,3,18,1.7522051125942149,1.7522051125942142,17.196152422706657,17.196152422706618,15.643721995656751,14.688380194395236,4.0,4.0,4.0,4
12,3,19,2.4247498675305734,2.424749867530573,17.124467999653287,17.124467999653305,15.57850908301792,14.627149749703865,4.0,4.0,4.0,5
12,3,20,1.3099092094130158,1.3099092094130158,16.871583743451644,16.871583743451616,16.402928639466875,15.465618431497312,4.0,4.0,4.0,4
12,3,21,1.9218907537046535,1.9218907537046528,17.30669541274185,17.306695412741806,15.744285410202654,14.782802331716958,4.0,4.0,4.0,5
12,3,22,1.7063081962706788,1.7063081962706792,17.149698057693072,17.1496980576931,14.291415048077562,13.338654044872413,4.0,4.0,4.0,5
12,3,23,1.2956348551058925,1.2956348551058943,16.242640687119266,16.242640687119295,15.791456223588174,14.889087296526021,5.0,5.0,5.0,4
12,3,24,2.521232033423283,2.5212320334232823,16.749246667211764,16.74924666721176,15.237161898644034,14.306648194910045,5.0,5.0,5.0,4
12,3,25,1.9374367541973498,1.9374367541973496,17.08568865227075,17.085688652270747,15.543230648940753,14.594025723814596,4.0,4.0,4.0,6
12,3,26,1.1923166173056121,1.1923166173056132,16.90117026328685,16.90117026328687,16.431693311528882,15.492739408012962,4.0,4.0,4.0,4
12,3,27,1.2731230499847497,1.2731230499847497,16.04554211148096,16.045542111480962,14.596986226416705,13.70556722022332,6.0,5.0,5.0,4
12,3,28,1.192316617305612,1.1923166173056123,16.901170263286836,16.901170263286865,15.375370170073438,14.43641626655753,4.0,4.0,4.0,4
12,3,29,1.3066869394829652,1.3066869394829665,17.0417737499031,17.041773749903133,16.568391145739124,15.621625937411205,4.0,4.0,4.0,4
12,3,30,1.9374367541973498,1.9374367541973503,17.085688652270758,17.085688652270747,15.54323064894076,14.594025723814596,4.0,4.0,4.0,6
12,3,31,2.4477479316567567,2.4477479316567576,16.168119903293135,16.16811990329316,13.473433252744279,12.95900327604286,7.0,6.0,6.0,4
12,3,32,1.9374367541973494,1.93743675419735,17.08568865227075,17.085688652270775,15.543230648940753,14.594025723814621,4.0,4.0,4.0,6
