Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
14,3,14,1.2153496473358882,1.2153496473358885,19.512472618133184,19.51247261813318,19.313365754682845,18.384200391914597,5.0,5.0,5.0,4
14,3,15,1.8510742881263054,1.8510742881263043,19.37028089513285,19.370280895132847,15.911302163859128,14.988907835519466,7.0,6.0,6.0,4
14,3,16,1.1163087407319812,1.116308740731981,18.47444763323755,18.474447633237585,16.40078514379252,15.521049542209807,7.0,6.0,6.0,4
14,3,17,1.479138602285575,1.4791386022855753,19.90108396160972,19.90108396160976,16.347318968465128,15.399648303626602,5.0,5.0,5.0,4
14,3,18,3.00914482735549,3.009144827355491,19.802492501312866,19.802492501312877,19.600426251299467,18.657450417903632,5.0,5.0,5.0,6
14,3,19,2.3367026774494293,2.336702677449431,19.175124944936275,19.175124944936268,17.022815002137303,16.109713814283193,7.0,7.0,6.0,6
16,3,0,2.1475123619559584,2.1475123619559593,22.55068680815527,22.550686808155174,18.322433031626158,17.38282108128628,8.0,6.0,6.0,6
16,3,1,1.531003983003667,1.531003983003667,23.120760042077762,23.120760042077777,20.140349567903677,19.17698456615045,5.0,5.0,5.0,5
16,3,2,1.9826405024362417,1.9826405024362406,22.423659386059857,22.423659386059843,21.63532761076869,20.70100846968285,7.0,7.0,6.0,5
16,3,3,2.48368438752033,2.483684387520331,21.982307005095986,21.982307005095905,20.264939270322863,19.349009811777126,8.0,7.0,7.0,5
16,3,4,1.6691046717467048,1.6691046717467048,23.033798771185634,23.03379877118556,18.714961501588327,17.7552198861222,5.0,5.0,5.0,5
16,3,5,1.8794441531431731,1.8794441531431731,22.157486419384064,22.157486419384153,18.002957715749552,17.07972911494195,7.0,7.0,6.0,5
16,3,6,1.6338634206279907,1.6338634206279914,21.93981530166697,21.93981530166695,19.111635985436465,18.197477014533657,8.0,7.0,7.0,4
16,3,7,2.223723298936962,2.2237232989369624,22.574558346252285,22.57455834625225,18.34182865632998,17.40122205856944,7.0,6.0,6.0,4
16,3,8,1.0751370402649052,1.075137040264905,21.84514911344731,21.84514911344732,20.138496838959238,19.228282292565613,7.0,6.0,6.0,5
16,3,9,1.9208766645570323,1.9208766645570337,21.915306607192335,21.9153066071924,21.144846609283228,20.23170883398361,8.0,8.0,8.0,4
16,3,10,0.6055816281497839,0.6055816281497831,23.79125682897745,23.79125682897742,19.330396173544177,18.339093805670096,4.0,4.0,4.0,5
16,3,11,2.4790199547306893,2.479019954730689,22.47213595499958,22.47213595499956,18.258610463437158,17.32227146531216,7.0,6.0,6.0,5
